Location,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,NewTests,TotalTests,MedianAge,Aged65Older,Aged70Older,GdpPerCapita,ExtremePoverty,CardiovascDeathRate,DiabetesPrevalence,FemaleSmokers,MaleSmokers,HandwashingFacilities,HospitalBedsPerThousand,LifeExpectancy
United States,4/14/2020,582594,25023,23649,1541,151772,3151226,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/1/2020,189618,24998,4079,909,108521,1205589,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/4/2020,1158041,24972,67682,1297,231456,7327271,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/20/2020,759687,24601,40682,1772,145688,4056142,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/17/2020,1467884,24487,88754,1186,371154,11466398,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/23/2020,1601434,24147,96007,1305,390000,13890516,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/29/2020,1012583,24132,58355,2110,238605,6084183,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/7/2020,1228603,24128,73431,2353,301644,8145219,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/6/2020,1204475,23841,71078,2144,244833,7843575,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/17/2020,2137731,23705,116963,836,485290,24974461,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/31/2020,1770384,23297,103781,945,396171,17052598,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/21/2020,1551853,23285,93439,1518,461819,13091428,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/12/2020,2023347,22883,113820,896,623125,22610183,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/5/2020,1180634,22593,68934,1252,271471,7598742,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,4/28/2020,988451,22541,56245,1369,206614,5845578,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/8/2020,1942363,22302,110514,712,395146,20678880,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,6/7/2020,1920061,22223,109802,659,445939,20283734,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
United States,5/13/2020,1369964,22048,82387,1703,319041,10010727,38.3,15.413,9.732,"54,225.45",1.2,151.089,10.79,19.1,24.6,null,2.77,78.86
